Table 8,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,
"by State by City, 2022",,,,,,,,,,,,
State,City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson1
,Henderson,"325,332",985,3,97,234,651,"6,242",950,"4,421",871,44
,Las Vegas Metropolitan Police Department,"1,667,961","8,605",147,"1,041","1,622","5,795","48,669","9,338","28,710","10,621",150
,Mesquite,"21,732",34,0,5,2,27,282,45,206,31,3
,North Las Vegas,"284,422","1,199",26,132,363,678,"5,046",827,"2,381","1,838",29
,Reno,"273,671","1,565",11,277,300,977,"6,994","1,113","4,790","1,091",36
,Sparks,"110,475",461,6,85,103,267,"2,222",281,"1,586",355,14
,West Wendover,"4,473",17,0,4,1,12,107,13,84,10,1
,Winnemucca,"8,775",47,2,7,3,35,234,60,135,39,3
NEW HAMPSHIRE,Alexandria,"1,789",1,0,0,0,1,4,0,4,0,0
,Allenstown,"4,788",7,0,4,0,3,21,1,20,0,1
,Alstead,"1,909",0,0,0,0,0,1,0,1,0,0
,Alton,"6,054",7,0,6,0,1,32,7,22,3,0
,Amherst,"11,876",4,0,2,1,1,98,5,93,0,1
,Andover,"2,434",1,0,1,0,0,6,0,6,0,0
,Antrim,"2,683",4,0,2,1,1,21,4,17,0,0
,Ashland,"1,969",1,0,0,1,0,46,0,43,3,0
,Atkinson,"7,343",7,0,2,1,4,10,4,3,3,0
,Auburn,"6,090",1,0,0,0,1,26,0,24,2,1
,Barnstead,"5,024",9,0,4,2,3,48,8,37,3,2
,Barrington,"9,531",6,0,4,0,2,40,7,25,8,0
,Bartlett,"3,363",3,0,1,0,2,19,1,18,0,0
,Bedford,"23,845",8,0,3,1,4,123,6,111,6,1
,Belmont,"7,425",6,0,4,0,2,114,7,98,9,0
,Bennington,"1,506",2,0,1,0,1,10,2,7,1,0
,Berlin,"9,717",18,0,3,2,13,172,13,150,9,4
,Bethlehem,"2,543",1,0,0,0,1,55,11,38,6,0
,Bow,"8,429",1,0,0,0,1,46,0,44,2,0
,Bradford,"1,726",1,0,1,0,0,9,1,7,1,0
,Brentwood,"4,610",2,0,0,1,1,10,0,10,0,0
,Bridgewater,"1,184",0,0,0,0,0,1,0,1,0,0
,Bristol,"3,303",3,0,1,0,2,31,1,28,2,0
,Brookline,"5,774",3,0,2,0,1,23,5,15,3,0
,Campton,"3,418",11,0,7,0,4,32,2,28,2,1
,Canaan,"3,818",1,0,1,0,0,22,3,18,1,0
,Candia,"4,162",2,0,0,0,2,15,1,14,0,0
,Canterbury,"2,483",1,0,0,0,1,13,1,11,1,0
,Carroll,812,0,0,0,0,0,7,0,7,0,0
,Charlestown,"4,950",4,0,1,0,3,19,3,15,1,1
,Chester,"5,279",3,0,1,0,2,16,0,15,1,0
,Chesterfield,"3,638",7,0,3,3,1,26,10,12,4,0
,Chichester,"2,777",5,0,1,0,4,36,3,31,2,0
,Claremont,"13,153",22,0,5,7,10,297,20,255,22,3
,Colebrook,"2,051",1,0,1,0,0,28,3,22,3,0
,Concord,"44,305",61,3,16,14,28,600,22,538,40,8
,Conway,"10,334",17,0,6,0,11,214,8,197,9,0
,Cornish,"1,659",0,0,0,0,0,7,0,7,0,0
,Danbury,"1,277",0,0,0,0,0,4,1,3,0,0
,Danville,"4,596",0,0,0,0,0,4,0,3,1,0
,Deerfield,"4,934",3,0,2,0,1,20,0,20,0,0
,Deering,"1,912",3,0,0,0,3,15,2,13,0,0
,Derry,"34,290",41,0,13,3,25,283,20,243,20,5
,Dover,"33,453",13,0,3,3,7,340,15,308,17,2
,Dublin,"1,586",2,0,1,0,1,4,0,4,0,0
,Dunbarton,"3,112",0,0,0,0,0,14,1,12,1,0
,Durham,"15,550",9,0,6,1,2,49,3,44,2,0
,East Kingston,"2,427",0,0,0,0,0,4,0,4,0,0
,Effingham,"1,781",1,0,0,0,1,4,1,2,1,0
,Enfield,"4,540",0,0,0,0,0,14,1,11,2,0
,Epping,"7,274",7,0,2,0,5,86,1,83,2,2
,Epsom,"4,957",4,0,2,0,2,26,1,21,4,0
,Exeter,"16,155",13,0,5,1,7,94,4,80,10,0
,Farmington,"6,872",25,0,10,0,15,78,9,60,9,3
,Fitzwilliam,"2,437",1,0,1,0,0,8,3,5,0,1
,Francestown,"1,640",0,0,0,0,0,0,0,0,0,0
,Franconia,"1,101",1,0,1,0,0,7,1,6,0,0
,Franklin,"8,850",8,0,3,1,4,95,3,89,3,0
,Freedom,"1,767",6,0,0,0,6,8,1,7,0,0
,Fremont,"4,797",3,0,1,0,2,13,1,11,1,1
,Gilford,"7,880",4,0,3,0,1,113,8,104,1,0
,Gilmanton,"4,022",3,0,3,0,0,19,3,10,6,0
,Goffstown,"18,375",17,0,6,1,10,118,6,106,6,2
,Gorham,"2,641",5,2,0,2,1,79,3,75,1,0
,Grantham,"3,497",2,0,1,0,1,6,1,3,2,0
,Greenfield,"1,719",2,0,2,0,0,4,0,3,1,0
,Greenland,"4,091",3,0,0,0,3,24,2,21,1,0
,Greenville,"1,970",0,0,0,0,0,0,0,0,0,0
,Groton,577,0,0,0,0,0,1,0,1,0,0
,Hampstead,"9,058",6,0,2,1,3,27,1,22,4,0
,Hampton,"16,384",19,0,4,3,12,122,6,110,6,0
,Hampton Falls,"2,408",1,0,0,0,1,13,1,11,1,0
,Hanover,"11,778",10,0,7,0,3,61,4,55,2,0
,Harrisville,"1,008",0,0,0,0,0,0,0,0,0,0
,Haverhill,"4,622",6,1,2,0,3,65,5,55,5,0
,Hebron,649,0,0,0,0,0,1,0,1,0,0
,Henniker,"5,870",9,0,2,1,6,26,4,18,4,1
,Hinsdale,"4,033",1,0,0,0,1,120,7,113,0,0
,Holderness,"2,037",4,0,0,0,4,14,1,10,3,0
,Hollis,"8,661",3,0,1,0,2,34,1,32,1,0
,Hooksett,"15,313",21,1,10,4,6,139,5,120,14,2
,Hopkinton,"6,079",1,0,1,0,0,15,0,14,1,0
,Hudson,"25,530",16,1,10,2,3,203,14,177,12,1
,Jaffrey,"5,495",17,0,11,1,5,25,3,22,0,2
,Keene,"23,271",40,1,18,11,10,498,26,452,20,3
,Kensington,"2,090",1,0,1,0,0,3,0,2,1,0
,Kingston,"6,231",2,0,2,0,0,17,3,12,2,0
,Laconia,"17,109",25,0,15,2,8,470,17,435,18,4
,Lancaster,"3,209",2,0,0,0,2,14,1,12,1,0
,Langdon,661,0,0,0,0,0,0,0,0,0,0
,Lebanon,"15,702",25,0,14,4,7,271,16,247,8,2
,Lee,"4,634",2,0,1,1,0,26,0,24,2,0
,Lincoln,"1,652",1,0,1,0,0,34,3,29,2,0
,Lisbon,"1,651",2,0,0,0,2,23,3,20,0,0
,Litchfield,"8,556",2,0,1,0,1,15,4,9,2,0
,Littleton,"6,058",2,0,1,0,1,40,1,35,4,0
,Londonderry,"26,340",32,0,24,3,5,182,9,157,16,3
,Loudon,"5,781",2,0,0,0,2,29,3,21,5,0
,Lyme,"1,758",0,0,0,0,0,3,0,3,0,0
,Lyndeborough,"1,705",0,0,0,0,0,2,0,2,0,0
,Madbury,"1,938",0,0,0,0,0,4,1,3,0,0
,Manchester,"114,650",472,5,50,87,330,"2,854",226,"2,381",247,17
,Marlborough,"2,163",2,0,1,0,1,12,0,12,0,0
,Mason,"1,450",1,0,0,0,1,5,3,2,0,0
,Meredith,"6,786",6,0,1,0,5,72,8,57,7,0
,Merrimack,"27,403",6,0,1,1,4,117,2,115,0,0
,Milford,"16,331",7,0,2,0,5,57,6,47,4,2
,Milton,"4,530",5,0,3,0,2,41,0,35,6,0
,Nashua,"91,027",143,4,50,21,68,973,63,845,65,9
,New Boston,"6,216",4,0,3,0,1,12,0,11,1,0
,Newbury,"2,236",0,0,0,0,0,10,1,9,0,0
,New Castle,999,0,0,0,0,0,2,0,2,0,0
,New Durham,"2,765",0,0,0,0,0,37,5,31,1,0
,Newfields,"1,761",0,0,0,0,0,4,2,2,0,0
,New Hampton,"2,433",2,0,1,0,1,22,1,19,2,0
,Newington,817,1,0,0,1,0,56,3,51,2,0
,New Ipswich,"5,333",1,0,1,0,0,34,2,26,6,0
,New London,"4,354",5,1,4,0,0,16,3,13,0,0
,Newmarket,"9,417",8,0,1,1,6,47,2,43,2,3
,Newport,"6,411",13,0,2,2,9,80,6,71,3,1
,Northfield,"4,998",2,0,0,0,2,51,4,43,4,0
,Northwood,"4,670",3,0,1,0,2,22,4,17,1,0
,Orford,"1,253",0,0,0,0,0,8,0,8,0,0
,Ossipee,"4,565",13,0,5,0,8,60,3,50,7,2
,Pelham,"14,364",4,0,1,0,3,80,2,71,7,0
,Pembroke,"7,684",17,0,11,0,6,41,2,35,4,0
,Peterborough,"6,479",5,0,1,1,3,27,3,23,1,1
,Piermont,778,1,0,0,0,1,5,0,5,0,0
,Pittsburg,806,0,0,0,0,0,1,0,1,0,0
,Pittsfield,"4,155",14,0,5,0,9,23,3,17,3,0
,Plainfield,"2,505",0,0,0,0,0,13,1,12,0,0
,Plaistow,"7,856",4,0,1,1,2,60,6,48,6,1
,Plymouth,"6,658",13,0,4,2,7,91,4,84,3,0
,Portsmouth,"22,513",40,0,10,2,28,282,12,252,18,2
,Raymond,"10,996",16,0,10,1,5,64,2,57,5,1
,Rindge,"6,633",2,0,1,0,1,32,5,26,1,13
,Rochester,"33,098",63,0,19,4,40,574,91,450,33,2
,Rollinsford,"2,646",5,0,1,1,3,18,2,13,3,0
,Roxbury,226,0,0,0,0,0,0,0,0,0,0
,Rumney,"1,513",0,0,0,0,0,1,0,1,0,0
,Rye,"5,550",0,0,0,0,0,15,1,13,1,0
,Salem,"30,712",29,0,9,11,9,436,16,400,20,1
,Sanbornton,"3,072",1,0,0,0,1,10,2,8,0,0
,Sandown,"6,575",2,0,2,0,0,20,2,17,1,0
,Somersworth,"12,160",11,0,7,1,3,245,10,218,17,2
,South Hampton,896,0,0,0,0,0,1,0,1,0,0
,Springfield,"1,316",0,0,0,0,0,9,1,8,0,0
,Stoddard,"1,422",0,0,0,0,0,0,0,0,0,0
,Strafford,"4,324",1,0,0,0,1,2,0,2,0,0
,Stratham,"7,844",1,0,0,0,1,18,1,16,1,0
,Sugar Hill,662,0,0,0,0,0,1,0,1,0,0
,Sunapee,"3,457",1,0,1,0,0,17,2,15,0,1
,Sutton,"2,038",1,0,1,0,0,0,0,0,0,0
,Swanzey,"7,468",17,0,9,1,7,37,18,19,0,0
,Tamworth,"2,949",1,0,0,0,1,25,2,23,0,0
,Thornton,"2,785",0,0,0,0,0,8,0,5,3,0
,Tilton,"4,106",5,0,1,1,3,167,4,154,9,0
,Tuftonboro,"2,614",2,0,2,0,0,16,2,14,0,0
,Wakefield,"6,315",10,0,1,0,9,34,4,28,2,0
,Warner,"2,969",1,0,0,0,1,20,0,19,1,0
,Warren,840,0,0,0,0,0,0,0,0,0,0
,Washington,"1,221",0,0,0,0,0,2,0,2,0,0
,Waterville Valley,510,1,0,1,0,0,17,0,17,0,0
,Weare,"9,213",7,0,6,0,1,25,1,20,4,0
,Webster,"1,976",3,0,2,0,1,5,0,4,1,1
,Wentworth,856,0,0,0,0,0,3,0,3,0,0
,Whitefield,"2,563",1,0,0,0,1,8,0,8,0,0
,Wilmot,"1,444",0,0,0,0,0,0,0,0,0,0
,Wilton,"3,994",11,0,2,0,9,25,3,20,2,2
,Winchester,"4,246",3,1,0,1,1,34,7,23,4,3
,Windham,"15,994",6,1,3,0,2,60,9,45,6,0
,Wolfeboro,"6,710",5,0,2,0,3,42,2,37,3,0
,Woodstock,"1,454",3,0,2,0,1,29,8,19,2,0
NEW JERSEY,Aberdeen Township,"19,345",24,0,0,2,22,113,16,84,13,0
,Absecon,"9,153",30,0,7,4,19,302,31,257,14,0
,Allenhurst,470,0,0,0,0,0,9,1,7,1,0
,Allentown,"1,737",0,0,0,0,0,5,0,5,0,0
,Alpha,"2,348",2,0,1,0,1,24,2,21,1,0
,Alpine,"1,743",0,0,0,0,0,34,10,11,13,0
,Andover Township,"6,227",3,0,0,0,3,11,1,9,1,0
,Asbury Park,"15,209",164,3,9,32,120,551,89,438,24,1
,Atlantic City,"38,502",651,7,56,205,383,"3,093",738,"2,103",252,6
,Atlantic Highlands,"4,416",3,1,0,0,2,20,3,17,0,0
,Audubon,"8,665",10,0,0,5,5,261,16,238,7,0
,Avalon,"1,209",1,0,0,0,1,95,15,75,5,0
,Avon-by-the-Sea,"1,899",0,0,0,0,0,34,7,27,0,0
,Barnegat Township,"25,142",18,0,4,1,13,108,11,93,4,0
,Barrington,"7,013",9,0,0,1,8,101,6,86,9,0
,Bayonne,"66,990",201,2,13,46,140,876,98,692,86,0
,Beach Haven,"1,082",0,0,0,0,0,112,0,112,0,1
,Beachwood,"11,188",10,0,0,1,9,102,17,79,6,0
,Bedminster Township,"8,123",0,0,0,0,0,35,6,24,5,0
,Belleville,"37,348",66,0,5,11,50,700,39,524,137,0
,Bellmawr,"11,645",20,0,0,4,16,211,25,178,8,2
,Belmar,"5,868",4,0,1,0,3,118,12,103,3,0
,Belvidere,"2,531",3,0,1,1,1,38,6,31,1,0
,Bergenfield,"28,082",12,0,1,2,9,89,9,62,18,0
,Berkeley Heights Township,"13,096",2,0,0,0,2,68,10,48,10,1
,Berkeley Township,"45,006",65,0,15,4,46,291,39,242,10,1
,Berlin,"7,522",6,0,0,0,6,127,19,100,8,0
,Bernards Township,"27,682",1,0,0,1,0,66,8,45,13,0
,Bernardsville,"7,786",0,0,0,0,0,27,1,20,6,0
,Beverly,"2,487",20,1,0,1,18,31,2,26,3,0
,Blairstown Township,"5,766",3,0,1,0,2,16,3,9,4,0
,Bloomfield,"52,663",46,1,0,9,36,640,30,494,116,0
,Bloomingdale,"7,616",5,0,2,0,3,23,5,17,1,0
,Boonton,"8,805",6,0,1,1,4,81,10,64,7,0
,Boonton Township,"4,387",3,0,2,0,1,9,0,9,0,0
,Bound Brook,"11,948",13,0,0,6,7,123,9,106,8,0
,Bradley Beach,"4,267",2,0,0,0,2,63,2,58,3,0
,Branchburg Township,"14,690",10,0,5,0,5,101,11,83,7,1
,Brick Township,"76,287",106,0,17,6,83,801,112,672,17,3
,Bridgeton,"26,524",187,1,22,78,86,845,111,689,45,3
,Brielle,"4,985",4,0,0,0,4,19,1,16,2,0
,Brigantine,"7,642",6,0,0,0,6,74,10,62,2,1
,Brooklawn,"1,802",17,0,1,3,13,184,18,149,17,0
,Burlington Township,"23,927",23,0,4,3,16,232,35,179,18,1
,Butler,"8,203",1,0,0,0,1,40,6,32,2,0
,Caldwell,"8,734",4,0,0,0,4,37,1,33,3,0
,Califon,"1,016",0,0,0,0,0,0,0,0,0,0
,Camden County Police Department,"71,616","1,125",28,52,244,801,"1,970",316,"1,222",432,32
,Cape May,"2,845",6,0,0,0,6,108,3,100,5,0
,Carlstadt,"6,316",3,0,0,1,2,128,3,108,17,0
,Carney's Point Township,"8,763",22,0,5,4,13,79,9,62,8,1
,Cedar Grove Township,"13,822",4,0,0,1,3,78,7,55,16,0
,Chatham,"9,307",1,0,0,0,1,67,9,36,22,0
,Chatham Township,"10,897",0,0,0,0,0,26,4,19,3,0
,Cherry Hill Township,"76,401",112,1,0,60,51,"2,416",99,"2,199",118,0
,Chesilhurst,"1,543",2,0,0,0,2,14,5,7,2,0
,Chester,"1,676",0,0,0,0,0,20,1,19,0,0
,Chester Township,"7,711",0,0,0,0,0,31,3,27,1,0
,Clark Township,"15,308",8,0,1,2,5,276,13,243,20,0
,Clayton,"9,017",12,0,1,0,11,40,9,27,4,0
,Clementon,"5,318",14,0,0,9,5,125,32,92,1,0
,Cliffside Park,"25,531",7,0,3,3,1,107,3,101,3,0
,Clifton,"88,768",93,2,7,41,43,"1,714",104,"1,420",190,0
,Clinton,"2,795",3,0,0,0,3,9,1,7,1,0
,Clinton Township,"13,759",3,0,0,0,3,57,21,34,2,0
,Closter,"8,474",0,0,0,0,0,61,6,45,10,0
,Collingswood,"14,108",31,0,0,6,25,427,91,315,21,0
,Colts Neck Township,"9,967",1,0,1,0,0,77,17,38,22,0
,Cranbury Township,"3,989",1,0,0,0,1,39,4,32,3,0
,Cranford Township,"24,133",9,0,3,0,6,244,71,144,29,3
,Cresskill,"9,069",1,0,0,1,0,32,4,13,15,0
,Deal,892,1,0,0,0,1,35,3,19,13,0
,Delanco Township,"4,805",8,0,1,1,6,41,10,29,2,0
,Delaware Township,"4,589",0,0,0,0,0,9,4,4,1,0
,Delran Township,"17,822",12,0,3,2,7,216,7,190,19,1
,Demarest,"4,812",1,0,1,0,0,31,4,17,10,0
,Denville Township,"17,119",0,0,0,0,0,94,12,66,16,0
,Deptford Township,"32,429",77,1,11,24,41,"1,316",89,"1,185",42,0
,Dumont,"18,533",7,1,0,0,6,62,2,57,3,0
,Dunellen,"7,525",3,0,0,0,3,62,7,53,2,0
,Eastampton Township,"6,319",11,0,2,3,6,67,2,61,4,1
,East Brunswick Township,"49,038",45,1,8,8,28,640,75,526,39,4
,East Hanover Township,"11,103",1,0,0,1,0,170,14,148,8,0
,East Newark,"2,383",5,0,0,1,4,13,0,11,2,0
,East Rutherford,"9,904",8,0,1,2,5,167,8,138,21,0
,East Windsor Township,"29,788",12,0,1,2,9,236,20,199,17,0
,Eatontown,"13,607",28,0,3,9,16,242,21,204,17,1
,Edgewater,"14,793",8,0,2,1,5,182,18,140,24,1
,Edison Township,"108,050",177,0,8,41,128,"1,827",192,"1,476",159,4
,Egg Harbor City,"4,402",11,0,0,3,8,120,14,99,7,4
,Egg Harbor Township,"47,747",37,1,5,11,20,"1,032",165,826,41,4
,Elizabeth,"134,065",644,2,50,228,364,"3,421",300,"2,426",695,5
,Elmwood Park,"21,154",40,0,6,6,28,283,35,215,33,6
,Englewood,"28,975",105,0,7,23,75,338,37,247,54,2
,Englewood Cliffs,"5,352",0,0,0,0,0,86,8,42,36,0
,Englishtown,"2,362",1,0,0,1,0,17,3,12,2,0
,Essex Fells,"2,144",2,0,1,0,1,33,4,26,3,0
,Evesham Township,"49,166",33,1,6,2,24,515,34,454,27,3
,Ewing Township,"37,408",76,2,13,20,41,955,55,826,74,7
,"Fairfield Township, Essex County","7,777",2,1,0,0,1,83,7,64,12,0
,Fair Haven,"6,156",0,0,0,0,0,29,4,20,5,0
,Fair Lawn,"35,424",18,0,1,5,12,255,26,207,22,3
,Fairview,"14,850",12,0,0,2,10,149,19,125,5,0
,Flemington,"4,923",6,0,0,1,5,112,12,92,8,1
,Florence Township,"12,747",7,1,0,0,6,15,5,8,2,0
,Florham Park,"13,685",4,0,2,0,2,53,4,39,10,0
,Fort Lee,"39,636",61,0,0,17,44,538,77,391,70,2
,Franklin,"4,983",3,0,0,0,3,59,5,54,0,0
,Franklin Lakes,"10,899",2,0,0,0,2,115,20,72,23,0
,"Franklin Township, Gloucester County","16,579",26,1,1,3,21,206,62,119,25,1
,"Franklin Township, Hunterdon County","3,303",1,0,0,0,1,26,1,23,2,0
,"Franklin Township, Somerset County","68,782",67,1,7,19,40,598,51,472,75,0
,Freehold Township,"35,791",31,0,4,4,23,550,36,477,37,0
,Frenchtown,"1,387",2,0,0,0,2,20,2,17,1,1
,Galloway Township,"37,961",62,0,7,5,50,520,106,376,38,2
,Garfield,"32,351",36,0,3,9,24,499,32,431,36,1
,Garwood,"4,358",2,0,0,0,2,19,1,18,0,0
,Gibbsboro,"2,208",1,0,0,0,1,50,4,44,2,0
,Glassboro,"21,115",49,0,6,7,36,318,65,229,24,1
,Glen Ridge,"7,620",4,0,1,1,2,106,9,82,15,0
,Glen Rock,"12,017",4,0,0,3,1,57,7,42,8,0
,Gloucester City,"11,430",27,0,0,4,23,297,23,271,3,0
,Gloucester Township,"65,848",82,2,5,8,67,737,60,602,75,1
,Green Brook Township,"7,314",2,0,0,0,2,44,13,25,6,0
,"Greenwich Township, Gloucester County","5,018",0,0,0,0,0,52,4,47,1,0
,"Greenwich Township, Warren County","5,490",0,0,0,0,0,75,2,72,1,0
,Hackensack,"45,413",94,0,10,14,70,"1,097",75,943,79,1
,Hackettstown,"10,389",3,0,0,2,1,45,6,36,3,0
,Haddonfield,"12,467",4,0,0,3,1,151,29,113,9,0
,Haddon Heights,"7,461",3,0,0,1,2,58,9,46,3,0
,Haledon,"8,848",2,0,1,1,0,166,15,140,11,0
,Hamburg,"3,311",1,0,1,0,0,8,1,6,1,0
,"Hamilton Township, Atlantic County","28,658",44,0,5,8,31,508,37,454,17,0
,"Hamilton Township, Mercer County","91,408",203,1,20,54,128,"1,647",169,"1,369",109,4
,Hammonton,"14,861",44,0,1,4,39,104,13,78,13,1
,Hanover Township,"14,630",9,0,0,2,7,195,7,178,10,0
,Harding Township,"3,883",0,0,0,0,0,28,3,24,1,0
,Hardyston Township,"8,351",3,0,3,0,0,41,8,30,3,0
,Harrison,"18,999",57,0,5,18,34,395,16,333,46,0
,Harrison Township,"13,886",14,0,0,1,13,65,11,48,6,1
,Hasbrouck Heights,"12,005",3,0,0,2,1,76,1,74,1,1
,Hawthorne,"19,163",4,0,0,2,2,156,8,128,20,0
,Hazlet Township,"20,547",13,1,1,1,10,174,19,148,7,0
,Helmetta,"2,426",0,0,0,0,0,1,1,0,0,0
,High Bridge,"3,641",2,0,0,0,2,23,5,16,2,0
,Highland Park,"14,914",20,0,2,5,13,129,10,105,14,1
,Highlands,"4,654",8,0,0,0,8,12,0,12,0,0
,Hightstown,"5,859",7,0,0,2,5,40,7,30,3,0
,Hillsborough Township,"42,893",6,0,0,0,6,129,19,97,13,1
,Hillsdale,"10,011",1,0,0,0,1,33,1,28,4,0
,Hillside Township,"22,026",53,0,5,19,29,635,45,464,126,1
,Hi-Nella,923,3,0,0,0,3,14,6,8,0,0
,Hoboken,"56,882",88,1,4,16,67,880,81,741,58,0
,Holmdel Township,"17,421",1,0,0,0,1,185,11,149,25,0
,Hopatcong,"14,561",14,0,4,1,9,28,5,20,3,0
,Hopewell Township,"17,339",9,2,2,1,4,99,18,77,4,1
,Howell Township,"54,073",42,0,3,3,36,442,49,378,15,1
,Independence Township,"5,510",2,0,0,1,1,7,1,4,2,0
,Jackson Township,"60,762",21,1,8,0,12,263,26,217,20,1
,Jamesburg,"5,703",5,1,0,0,4,8,0,8,0,0
,Jefferson Township,"20,498",4,0,0,0,4,38,2,35,1,0
,Jersey City,"276,300",609,12,39,89,469,"3,825",61,"3,125",639,3
,Keansburg,"9,757",35,1,0,2,32,131,21,102,8,2
,Kearny,"38,906",47,1,0,33,13,867,30,724,113,0
,Kenilworth,"8,280",1,0,0,0,1,96,8,81,7,0
,Kinnelon,"9,983",0,0,0,0,0,31,2,23,6,0
,Lacey Township,"29,903",45,1,2,3,39,220,23,191,6,0
,Lakehurst,"2,708",6,0,1,0,5,24,5,19,0,1
,Lakewood Township,"141,190",123,0,14,25,84,914,151,661,102,17
,Lambertville,"4,173",0,0,0,0,0,20,0,20,0,0
,Laurel Springs,"1,971",4,0,0,1,3,15,2,12,1,0
,Lavallette,"1,852",0,0,0,0,0,10,0,9,1,0
,Lawnside,"3,343",4,0,0,1,3,163,5,156,2,0
,"Lawrence Township, Mercer County","32,949",14,0,4,10,0,524,51,450,23,1
,Lebanon Township,"6,243",2,0,1,0,1,18,2,15,1,0
,Leonia,"9,198",4,1,0,0,3,80,19,57,4,0
,Lincoln Park,"10,904",4,0,3,0,1,74,9,59,6,0
,Linden,"43,652",141,0,16,35,90,"1,307",89,"1,098",120,1
,Lindenwold,"21,524",83,2,6,15,60,408,97,259,52,3
,Linwood,"6,950",2,0,2,0,0,54,5,46,3,0
,Little Falls Township,"13,220",14,1,1,1,11,109,12,84,13,0
,Little Silver,"6,050",0,0,0,0,0,41,7,27,7,0
,Livingston Township,"30,844",7,0,1,4,2,313,21,251,41,0
,Lodi,"25,788",34,2,3,4,25,334,24,272,38,1
,Logan Township,"6,103",5,0,0,0,5,95,1,80,14,1
,Long Branch,"33,094",62,0,11,7,44,421,54,339,28,1
,Long Hill Township,"8,610",1,0,0,0,1,50,5,41,4,0
,Longport,879,0,0,0,0,0,3,0,2,1,0
,Lopatcong Township,"10,057",3,0,0,2,1,45,8,35,2,0
,Lower Township,"22,238",34,0,4,4,26,164,20,139,5,3
,Lyndhurst Township,"22,183",12,0,0,4,8,211,11,182,18,1
,Mahwah Township,"25,150",6,0,0,4,2,102,9,78,15,0
,Manalapan Township,"40,897",10,0,3,3,4,225,44,145,36,0
,Manasquan,"5,949",1,0,1,0,0,80,9,68,3,1
,Manchester Township,"46,265",24,0,6,4,14,196,31,145,20,6
,"Mansfield Township, Warren County","7,846",0,0,0,0,0,95,3,88,4,0
,Manville,"10,763",9,1,4,0,4,128,12,106,10,0
,Maple Shade Township,"19,911",60,3,7,14,36,444,62,324,58,1
,Maplewood Township,"25,088",26,0,1,17,8,353,24,235,94,1
,Margate City,"5,202",3,0,0,1,2,78,11,60,7,0
,Marlboro Township,"41,576",24,1,2,3,18,474,50,326,98,0
,Matawan,"9,734",0,0,0,0,0,4,2,1,1,0
,Maywood,"9,966",7,0,0,1,6,108,9,87,12,0
,Medford Township,"24,447",26,0,10,2,14,197,20,167,10,2
,Mendham,"4,975",0,0,0,0,0,15,7,7,1,0
,Middlesex Borough,"14,423",7,0,2,3,2,86,12,72,2,0
,Middle Township,"20,845",64,1,10,4,49,379,28,337,14,0
,Midland Park,"6,930",4,0,0,1,3,32,2,29,1,0
,Millburn Township,"22,417",4,0,0,4,0,550,23,487,40,0
,Milltown,"6,947",2,0,0,1,1,134,5,125,4,0
,Millville,"27,550",139,1,12,26,100,"1,063",104,921,38,2
,Monmouth Beach,"3,242",0,0,0,0,0,22,1,13,8,0
,"Monroe Township, Gloucester County","38,222",31,0,3,3,25,358,70,260,28,0
,"Monroe Township, Middlesex County","48,097",5,0,0,0,5,106,12,75,19,0
,Montclair,"41,117",44,1,6,9,28,440,59,293,88,0
,Montgomery Township,"23,441",1,0,0,0,1,66,27,29,10,0
,Montvale,"8,436",2,0,0,1,1,46,4,38,4,0
,Moonachie,"3,093",1,0,0,0,1,52,5,43,4,1
,Morris Plains,"6,138",2,0,0,0,2,78,9,66,3,0
,Morristown,"20,418",39,0,7,9,23,195,9,167,19,0
,Morris Township,"23,455",12,0,0,2,10,134,31,90,13,0
,Mount Arlington,"5,908",6,0,0,1,5,27,5,22,0,0
,Mount Ephraim,"4,615",11,0,3,2,6,288,13,267,8,1
,Mount Olive Township,"28,970",13,0,5,4,4,129,12,111,6,0
,Mullica Township,"5,798",9,1,1,0,7,61,22,38,1,0
,Neptune City,"4,620",15,0,1,2,12,88,5,80,3,1
,Neptune Township,"28,491",111,6,6,15,84,829,117,678,34,1
,Netcong,"3,973",4,0,0,0,4,29,8,20,1,0
,Newark,"304,311","1,582",53,86,469,974,"5,539",537,"2,869","2,133",29
,New Brunswick,"55,971",480,4,47,217,212,"1,211",152,959,100,3
,New Milford,"16,897",1,1,0,0,0,59,2,53,4,0
,New Providence,"13,548",1,0,1,0,0,57,1,47,9,0
,Newton,"8,593",7,0,1,0,6,44,1,43,0,1
,North Bergen Township,"58,378",80,0,14,16,50,377,39,284,54,1
,North Brunswick Township,"43,419",94,0,6,14,74,557,33,476,48,2
,Northfield,"8,435",3,0,0,0,3,50,3,44,3,0
,North Haledon,"8,788",3,0,0,0,3,36,11,21,4,0
,North Plainfield,"22,394",36,1,7,12,16,314,25,261,28,1
,Northvale,"4,759",2,0,1,0,1,8,0,8,0,0
,North Wildwood,"3,602",9,0,0,1,8,149,10,136,3,0
,Norwood,"5,565",0,0,0,0,0,26,6,18,2,0
,Oakland,"12,616",4,0,0,0,4,56,4,41,11,0
,Oaklyn,"3,908",9,0,0,3,6,185,40,137,8,0
